epoch	train_loss	val_loss	val_f1	val_auroc	lr	epoch_s	step
0	0.6415	0.6465	0.4858	0.7320	2.92e-04	144.1	146
1	0.4914	0.5836	0.6455	0.7614	5.84e-04	181.0	292
2	0.4790	0.6411	0.5811	0.7485	8.76e-04	161.5	438
3	0.4373	0.5629	0.6522	0.7731	1.00e-03	168.7	584
4	0.4119	0.6081	0.6387	0.7888	9.97e-04	168.3	730
5	0.3721	0.5565	0.7027	0.7757	9.93e-04	188.1	876
6	0.3688	0.6223	0.6856	0.7608	9.86e-04	246.3	1022
7	0.3800	0.6179	0.7121	0.7586	9.77e-04	207.6	1168
8	0.3593	0.6512	0.6912	0.7526	9.65e-04	233.0	1314
9	0.3437	0.5685	0.7117	0.7714	9.52e-04	237.3	1460
10	0.3325	0.6053	0.6887	0.7875	9.37e-04	222.1	1606
11	0.3313	0.6703	0.7230	0.7522	9.19e-04	148.4	1752
12	0.3270	0.6698	0.6941	0.7670	9.00e-04	149.6	1898
13	0.3213	0.6357	0.7215	0.7617	8.79e-04	217.6	2044
14	0.3158	0.5925	0.7224	0.7821	8.57e-04	281.3	2190
15	0.3094	0.6720	0.6866	0.7675	8.32e-04	236.2	2336
16	0.3189	0.6335	0.7078	0.7708	8.07e-04	183.2	2482
17	0.3041	0.6748	0.7029	0.7657	7.79e-04	218.1	2628
18	0.3185	0.6450	0.7225	0.7646	7.51e-04	192.0	2774
19	0.3038	0.6931	0.7205	0.7524	7.22e-04	139.5	2920
20	0.3013	0.6604	0.7065	0.7747	6.91e-04	189.7	3066
21	0.2976	0.6549	0.7130	0.7657	6.60e-04	195.2	3212
22	0.2921	0.7559	0.7223	0.7511	6.28e-04	184.2	3358
23	0.2897	0.6545	0.7231	0.7714	5.95e-04	233.7	3504
24	0.2920	0.6977	0.7134	0.7636	5.62e-04	172.4	3650
25	0.2822	0.6992	0.7266	0.7592	5.29e-04	148.4	3796
26	0.2743	0.6970	0.7192	0.7582	4.95e-04	149.6	3942
27	0.2769	0.6807	0.7153	0.7677	4.62e-04	157.6	4088
28	0.2836	0.6975	0.7325	0.7566	4.29e-04	131.7	4234
29	0.2785	0.6726	0.7078	0.7805	3.96e-04	117.7	4380
30	0.2787	0.5903	0.7054	0.8004	3.64e-04	115.8	4526
31	0.2739	0.6904	0.7287	0.7679	3.32e-04	123.9	4672
32	0.2843	0.7101	0.7217	0.7700	3.01e-04	108.6	4818
33	0.2791	0.6691	0.7261	0.7722	2.71e-04	119.8	4964
34	0.2647	0.6602	0.7293	0.7744	2.42e-04	116.7	5110
35	0.2714	0.7088	0.7269	0.7713	2.15e-04	144.4	5256
36	0.2641	0.6846	0.7304	0.7694	1.88e-04	134.5	5402
37	0.2578	0.6634	0.7274	0.7782	1.63e-04	156.6	5548
38	0.2592	0.6345	0.7287	0.7847	1.40e-04	224.2	5694
39	0.2695	0.5980	0.7289	0.7958	1.18e-04	216.1	5840
40	0.2614	0.6577	0.7270	0.7845	9.84e-05	227.7	5986
41	0.2632	0.6565	0.7283	0.7790	8.03e-05	198.7	6132
42	0.2618	0.6785	0.7178	0.7799	6.42e-05	213.0	6278
43	0.2610	0.6787	0.7246	0.7772	5.00e-05	191.6	6424
44	0.2641	0.6608	0.7265	0.7788	3.79e-05	176.3	6570
45	0.2629	0.6660	0.7257	0.7786	2.79e-05	187.1	6716
46	0.2629	0.6704	0.7247	0.7794	2.01e-05	195.6	6862
47	0.2584	0.6655	0.7281	0.7787	1.45e-05	164.8	7008
48	0.2544	0.6657	0.7298	0.7787	1.11e-05	194.2	7154
