epoch	train_loss	val_loss	val_f1	val_auroc	lr	epoch_s	step
0	0.6539	0.7461	0.3347	0.7005	2.92e-04	127.5	146
1	0.5275	0.6103	0.6869	0.7413	5.84e-04	141.0	292
2	0.4987	0.5954	0.6465	0.7592	8.76e-04	145.8	438
3	0.4523	0.5737	0.7607	0.7616	1.00e-03	157.4	584
4	0.4294	0.5705	0.7310	0.7697	9.97e-04	235.0	730
5	0.4076	0.5706	0.7755	0.7724	9.93e-04	189.4	876
6	0.3903	0.5792	0.7378	0.7882	9.86e-04	156.2	1022
7	0.3932	0.5524	0.7915	0.7722	9.77e-04	247.3	1168
8	0.3734	0.5173	0.7852	0.7897	9.65e-04	249.5	1314
9	0.3615	0.5449	0.7465	0.7973	9.52e-04	722.8	1460
10	0.3545	0.5716	0.7174	0.8038	9.37e-04	403.8	1606
11	0.3455	0.5393	0.7479	0.8052	9.19e-04	128.9	1752
12	0.3524	0.5364	0.7524	0.7922	9.00e-04	114.5	1898
13	0.3477	0.5129	0.7436	0.8094	8.79e-04	114.1	2044
14	0.3372	0.5237	0.7525	0.8077	8.57e-04	119.2	2190
15	0.3346	0.5171	0.7727	0.8051	8.32e-04	108.8	2336
16	0.3317	0.5250	0.7753	0.8057	8.07e-04	108.0	2482
17	0.3230	0.5181	0.7662	0.8057	7.79e-04	102.8	2628
18	0.3244	0.5333	0.7197	0.8123	7.51e-04	101.3	2774
19	0.3076	0.5298	0.7944	0.8014	7.22e-04	120.1	2920
20	0.3256	0.5191	0.7700	0.7997	6.91e-04	105.0	3066
21	0.3034	0.5273	0.7491	0.8109	6.60e-04	104.9	3212
22	0.2977	0.5688	0.7290	0.8058	6.28e-04	98.5	3358
23	0.3155	0.5210	0.7605	0.8108	5.95e-04	91.1	3504
24	0.3031	0.5562	0.7362	0.8080	5.62e-04	93.5	3650
25	0.2945	0.5622	0.7399	0.8076	5.29e-04	98.3	3796
26	0.3005	0.5309	0.7544	0.8085	4.95e-04	100.0	3942
27	0.2964	0.5311	0.7616	0.8118	4.62e-04	96.2	4088
28	0.2906	0.5496	0.7529	0.8126	4.29e-04	114.0	4234
29	0.2873	0.5894	0.7368	0.8077	3.96e-04	97.3	4380
30	0.2815	0.5849	0.7392	0.8051	3.64e-04	103.5	4526
31	0.2998	0.5560	0.7402	0.8147	3.32e-04	108.9	4672
32	0.2828	0.6019	0.7253	0.8044	3.01e-04	304.7	4818
33	0.2820	0.6325	0.7103	0.8099	2.71e-04	199.3	4964
34	0.2853	0.5573	0.7521	0.8132	2.42e-04	305.9	5110
35	0.2865	0.5469	0.7641	0.8135	2.15e-04	114.3	5256
36	0.2781	0.5663	0.7598	0.8119	1.88e-04	138.0	5402
37	0.2726	0.5662	0.7554	0.8116	1.63e-04	101.0	5548
38	0.2808	0.5907	0.7447	0.8079	1.40e-04	98.1	5694
39	0.2687	0.5824	0.7611	0.8070	1.18e-04	93.5	5840
40	0.2784	0.5850	0.7526	0.8091	9.84e-05	109.4	5986
41	0.2721	0.5783	0.7582	0.8105	8.03e-05	138.1	6132
42	0.2763	0.5948	0.7541	0.8081	6.42e-05	224.3	6278
43	0.2765	0.5895	0.7562	0.8088	5.00e-05	100.2	6424
44	0.2723	0.5869	0.7607	0.8084	3.79e-05	105.4	6570
45	0.2672	0.5884	0.7619	0.8081	2.79e-05	128.3	6716
46	0.2577	0.5876	0.7600	0.8097	2.01e-05	175.7	6862
47	0.2745	0.5902	0.7590	0.8082	1.45e-05	109.6	7008
48	0.2767	0.5884	0.7605	0.8075	1.11e-05	236.8	7154
49	0.2717	0.5873	0.7609	0.8078	1.00e-05	259.3	7300
